epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6175.03,0.51028,0.48436,1.04847,0.97842,0.96844,0.98694,0.92494,0.28196,0.19552,0.80657,0.005842,0.005842,0.005842
44,6686.29,0.50317,0.47708,1.04376,0.97986,0.96845,0.98695,0.926,0.28004,0.19412,0.805,0.005743,0.005743,0.005743
45,7197.35,0.50216,0.47193,1.04188,0.97983,0.96967,0.98707,0.92648,0.27831,0.19262,0.80373,0.005644,0.005644,0.005644
46,7710.14,0.49688,0.46828,1.03848,0.98055,0.96958,0.9872,0.92656,0.27665,0.19131,0.80247,0.005545,0.005545,0.005545
47,8219.91,0.4948,0.46614,1.03712,0.98113,0.97001,0.98729,0.92832,0.27517,0.19012,0.80132,0.005446,0.005446,0.005446
48,8731.42,0.49029,0.45567,1.03324,0.98157,0.97046,0.98733,0.92862,0.27351,0.18883,0.79995,0.005347,0.005347,0.005347
49,9243.73,0.48729,0.45064,1.03202,0.98236,0.97067,0.98743,0.92833,0.27178,0.18718,0.79857,0.005248,0.005248,0.005248
50,9753.93,0.48201,0.44767,1.02958,0.98214,0.97141,0.98753,0.92966,0.27018,0.18574,0.79748,0.005149,0.005149,0.005149
51,10265.8,0.48038,0.44236,1.02754,0.98287,0.97157,0.98762,0.93058,0.26864,0.18463,0.79623,0.00505,0.00505,0.00505
52,10776.2,0.47583,0.43502,1.02434,0.98338,0.97166,0.98773,0.93156,0.26697,0.18345,0.79492,0.004951,0.004951,0.004951
53,11287,0.47271,0.43049,1.02201,0.98301,0.97276,0.98782,0.93325,0.26527,0.18215,0.79353,0.004852,0.004852,0.004852
54,11796.8,0.46714,0.42731,1.01977,0.98285,0.9732,0.98793,0.9345,0.26372,0.18066,0.79228,0.004753,0.004753,0.004753
